id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
811505,Boutique 1 bedroom Apartment  8 mins to Soho,4267218,Mandy,,Central & Western,22.28358853461458,114.14684773421,Entire home/apt,901,3,35,2018-07-13,0.49,1,0
818680,A splendid flat to rent,4110022,Infante,,Southern,22.21834949234255,114.2091702156109,Entire home/apt,901,28,1,2013-01-04,0.01,2,316
823455,"HK 2br for 4-6ppl
香港2臥1厅1浴可住4-6人 ",4319967,Zen Nicholas,,Sham Shui Po,22.33454752679819,114.15992246393701,Entire home/apt,885,3,71,2017-07-05,0.99,4,285
825791,QUEEN BED - Austin Avenue T.S.T MTR,3820308,Dave,,Yau Tsim Mong,22.30174284436142,114.17686388303638,Entire home/apt,603,28,91,2018-10-29,1.27,15,155
825843,"(25-3), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.307197566407105,114.17009406039983,Shared room,102,28,173,2018-05-05,2.79,9,365
825899,"(25-4), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.30553389464477,114.17201557699349,Shared room,102,28,132,2018-05-24,1.99,9,365
830187,MTR Studio 2 Austin Avenue TST,4345949,Carolina,,Yau Tsim Mong,22.30139475530653,114.1762705833353,Entire home/apt,650,2,23,2014-06-10,0.32,8,353
835609,For Big group (CH) in busy Wan Chai,1452499,Sally,,Wan Chai,22.277317399668984,114.17577805505239,Entire home/apt,1708,3,215,2018-11-01,3.08,7,281
844447,Cozy Apartment in Wan Chai,4345080,Felix,,Wan Chai,22.275409787001262,114.17069911161965,Entire home/apt,768,1,24,2018-09-29,0.34,1,309
846482,Japanese style in Sai Ying Pun,4420092,Nicolas,,Central & Western,22.286380915474478,114.14055048667,Entire home/apt,666,3,95,2018-10-30,1.36,1,262
846855,apartment in wan chai EE,3014654,Kenny,,Wan Chai,22.27666005436068,114.17117198452935,Private room,400,30,1,2013-01-02,0.01,1,365
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.278120364855276,114.18182790547108,Entire home/apt,783,2,69,2018-11-11,1.13,1,9
850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,Wan Chai,22.279944761733205,114.18966225599641,Private room,306,2,438,2018-10-19,6.14,1,214
857403,"舒適房間,2分鐘到地鐵站",4352371,Dennis,,Eastern,22.29132234351277,114.2033604965603,Private room,501,28,0,,,1,364
860891,Two Bedroom Apartment W. MID-LEVELS,4509858,Akiei,,Central & Western,22.283511203483922,114.14120110846012,Entire home/apt,1018,30,0,,,4,333
860952,"NX to Times SQ,Causeway Bay &nr CEC",4393124,Matt,,Wan Chai,22.27812713416615,114.17964721934659,Entire home/apt,1128,2,135,2018-10-30,1.97,2,292
861654,Quiet convenient 1 B.R Austin/Jordan MTR fast WiFi,3820308,Dave,,Yau Tsim Mong,22.30203992794872,114.1751707719569,Entire home/apt,548,15,34,2018-10-31,0.48,15,348
865757,The Prince of the Terrace,4422400,Darrick,,Central & Western,22.280480089809124,114.15281509823564,Entire home/apt,3917,8,6,2016-12-25,0.09,1,19
872466,1 room available in 2-bedroom flat,4602950,Sergius,,Yuen Long,22.440563183183045,114.0731753208079,Private room,196,2,42,2017-10-28,0.65,1,0
881740,"Tsim Sha Tsui, newly 2 beds apartment",4326731,Rain,,Yau Tsim Mong,22.297264330796896,114.17435590656996,Entire home/apt,877,2,253,2018-11-03,3.60,3,93
889462,Panoramic sea view apartment ,4719675,Eddy,,Southern,22.254366418727212,114.13234494196473,Entire home/apt,9800,14,0,,,1,365
890872,T061-2BRs Tourist Spots Lady St MK,1966274,Egg,,Yau Tsim Mong,22.31935110930834,114.16980394526396,Entire home/apt,901,1,197,2018-10-29,2.81,11,307
897942,"Tsim Sha Tsui, newly 2 beds apt. I.",4326731,Rain,,Yau Tsim Mong,22.295865065265353,114.17363444756506,Entire home/apt,877,2,289,2018-11-10,4.13,3,113
905982,New 1BR - Budget & sweet home in HK,1460867,Icycream,,Wan Chai,22.278704738404997,114.17669855339271,Private room,7834,365,2,2016-04-11,0.03,1,358
906165,Private Studio 4 persons Hong Kong,4850005,Beau,,Sham Shui Po,22.33065769666356,114.16139977377516,Entire home/apt,360,2,90,2018-10-26,1.78,4,179
911684,Wanchai Pigeon Burrow — Studio Flat,4891952,John,,Wan Chai,22.274532661866292,114.1727718700558,Entire home/apt,447,2,218,2018-11-04,4.26,5,41
923017,Comfort Home in Prince Edward Mtr 4 beds,4971086,Alice,,Yau Tsim Mong,22.32470810101495,114.16750798147426,Entire home/apt,1152,1,303,2018-11-10,4.48,10,158
926138,Lovely home Mong Kok MTR Railway 4 beds,4971086,Alice,,Yau Tsim Mong,22.323346024236727,114.1701720155127,Entire home/apt,1128,1,329,2018-11-10,4.73,10,287
944283,2 Bed Rooms Heart of Soho/Central,5100812,Nana,,Central & Western,22.284896496852408,114.15401980779431,Entire home/apt,1018,5,49,2018-11-05,0.70,2,215
956857,Cozy Room- Heart of Soho/Central,5100812,Nana,,Central & Western,22.284454148876957,114.15365609099601,Private room,400,6,2,2013-08-08,0.03,2,170
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28665568539354,114.14629461237485,Entire home/apt,768,2,32,2018-11-04,0.47,1,327
968289,Mongkok 2Brs Queen Bed MTR 3m QUIET,2180835,Gloria,,Yau Tsim Mong,22.318458101871357,114.16964913284848,Entire home/apt,979,3,76,2018-10-06,1.11,2,324
970093,Quarry Bay Budget-Friendly Comfortable Room,5299333,Tiffany,,Eastern,22.28576875908976,114.21447076080015,Private room,353,1,1,2014-12-22,0.02,1,341
978472,New Grand Apartment in Hung Hom ,2466332,Stanley,,Kowloon City,22.31008624021157,114.18555707118313,Entire home/apt,1003,30,0,,,1,328
984533,New 3 BDR APT@Prince Edward MTR,3079511,Bonnie,,Yau Tsim Mong,22.32284031087849,114.16822193200369,Entire home/apt,1050,1,276,2018-11-06,4.02,4,204
992390,Bright Studio in buzzin' Central,5181284,Peter,,Central & Western,22.28289467730213,114.15293375315223,Entire home/apt,635,10,119,2018-07-18,1.73,2,72
